"USERNAME","TABLE_NAME","BUILD_TYPE","ORDER_BY_COLUMNS","LOADING_METHOD","BEFORE_SELECT_SQL","COLUMNS_REMOVED","WHERE_CLAUSE","AFTER_ORDER_BY_SQL","NOTES"
"ODBCAPTURE","BUILD_CONF","wtpgrb","BUILD_SEQ",,,,"build_type not in ('sys','pub')",,
"ODBCAPTURE","BUILD_PATH","wtpgrb","PARENT_BUILD_SEQ, BUILD_SEQ",,,,"build_seq in (select build_seq from build_conf where build_type not in ('sys','pub'))",,
"ODBCAPTURE","DLOAD_CONF","wtpgrb","USERNAME, TABLE_NAME, BUILD_TYPE",,,,,,
"ODBCAPTURE","OBJECT_CONF","wtpgrb","USERNAME, ELEMENT_NAME, BUILD_TYPE",,,,,,
"ODBCAPTURE","ROLE_CONF","wtpgrb","ROLENAME, BUILD_TYPE",,,,"build_type not in ('sys','pub')",,
"ODBCAPTURE","SCHEMA_CONF","wtpgrb","USERNAME",,,,"build_type not in ('sys','pub')",,
"ODBCAPTURE","TSPACE_CONF","wtpgrb","USERNAME, TSPACE_NAME",,,,,,
"WTP","HOOKS","wtpsrc","HOOK_NAME, SEQ",,,,,,
"WTP","WT_SELF_TEST","wtptst","ID",,,,,,
